Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
289 : 32 : 1
645 : 36 : 1
352 : 2 : 0
482 : 22 : 1
666 : 26 : 1
357 : 15 : 0
385 : 14 : 1
244 : 23 : 0
215 : 8 : 1
438 : 63 : 0
378 : 22 : 0
318 : 11 : 1
422 : 9 : 0
310 : 39 : 1
319 : 15 : 1
340 : 24 : 0
286 : 6 : 1
363 : 5 : 1
525 : 34 : 0
233 : 28 : 1
376 : 17 : 1
666 : 89 : 0
428 : 26 : 1
244 : 11 : 1
713 : 47 : 1
297 : 19 : 1
696 : 42 : 1
551 : 11 : 0
550 : 17 : 0
250 : 8 : 0
426 : 23 : 1
378 : 22 : 0
451 : 48 : 1
602 : 56 : 0
545 : 13 : 1
321 : 20 : 1
658 : 48 : 0
235 : 19 : 1
345 : 50 : 0
360 : 17 : 0
662 : 64 : 0
417 : 20 : 0
498 : 33 : 1
636 : 22 : 1
292 : 11 : 0
524 : 37 : 0
197 : 11 : 1
426 : 11 : 1
305 : 4 : 0
400 : 22 : 1
436 : 31 : 0
398 : 13 : 1
640 : 47 : 1
384 : 9 : 0
475 : 57 : 1
543 : 75 : 1
361 : 26 : 1
281 : 15 : 1
318 : 19 : 1
319 : 16 : 1
312 : 6 : 1
568 : 61 : 0
360 : 27 : 1
311 : 6 : 1
362 : 24 : 0
221 : 21 : 1
628 : 63 : 0
589 : 35 : 1
522 : 54 : 0
291 : 28 : 1
339 : 19 : 1
468 : 18 : 1
282 : 29 : 1
654 : 27 : 0
340 : 46 : 1
582 : 52 : 1
451 : 17 : 0
569 : 17 : 1
647 : 17 : 1
387 : 44 : 1
249 : 30 : 1
300 : 34 : 1
545 : 47 : 1
544 : 63 : 1
370 : 45 : 1
634 : 63 : 1
281 : 18 : 1
553 : 25 : 1
472 : 13 : 1
454 : 38 : 1
429 : 22 : 1
289 : 62 : 0
393 : 10 : 0
251 : 26 : 1
446 : 24 : 1
366 : 11 : 0
475 : 30 : 1
463 : 20 : 1
283 : 22 : 1
355 : 17 : 1
644 : 13 : 1
320 : 11 : 0
395 : 25 : 1
241 : 15 : 1
581 : 47 : 1
602 : 54 : 1
287 : 4 : 1
396 : 36 : 0
253 : 5 : 1
508 : 36 : 1
314 : 17 : 1
389 : 8 : 1
291 : 16 : 1
387 : 13 : 1
592 : 15 : 1
299 : 9 : 1
277 : 39 : 1
519 : 9 : 1
355 : 58 : 1
584 : 36 : 0
221 : 14 : 0
319 : 25 : 0
284 : 9 : 0
437 : 65 : 1
290 : 17 : 1
648 : 33 : 1
820 : 103 : 1
340 : 18 : 1
264 : 23 : 0
297 : 46 : 0
461 : 42 : 0
307 : 33 : 0
467 : 40 : 1
649 : 58 : 1
305 : 18 : 0
530 : 45 : 1
686 : 39 : 0
371 : 54 : 1
519 : 35 : 1
327 : 22 : 0
617 : 33 : 0
322 : 17 : 1
312 : 5 : 1
379 : 33 : 0
462 : 46 : 0
323 : 54 : 1
405 : 89 : 0
509 : 11 : 1
312 : 28 : 0
583 : 15 : 1
656 : 22 : 1
274 : 8 : 0
227 : 33 : 0
552 : 86 : 1
579 : 15 : 1
341 : 21 : 1
663 : 48 : 0
294 : 37 : 0
600 : 26 : 1
330 : 13 : 0
260 : 10 : 1
279 : 20 : 0
486 : 39 : 1
319 : 10 : 0
582 : 20 : 1
269 : 36 : 0
370 : 7 : 1
287 : 42 : 1
383 : 17 : 1
309 : 18 : 1
355 : 4 : 1
628 : 41 : 1
540 : 4 : 1
223 : 10 : 1
430 : 18 : 0
463 : 42 : 1
474 : 45 : 1
213 : 19 : 1
637 : 52 : 0
442 : 25 : 0
328 : 12 : 1
556 : 58 : 0
717 : 52 : 1
261 : 16 : 1
272 : 8 : 1
236 : 29 : 0
238 : 19 : 1
324 : 16 : 0
241 : 36 : 0
271 : 13 : 1
492 : 31 : 0
343 : 31 : 1
210 : 7 : 1
469 : 49 : 1
